username,limit,used_total,used_batch,used_tss
BFa032-d,15000.0,0,0,0
RFa062-d,15000.0,0,0,0
SMa021-d,1000.0,0,0,0
HTc001-d,15000.0,0,0,0
SMa021-s,200.0,0,0,0
STa009-s,2000.0,0,0,0
ZZa011-d,1000.0,0.0011049999999999999,0.0011049999999999999,0
FIn002-s,2000.0,0,0,0
FIa131-d,15000.0,0,0,0
BRa003-d,1000.0,0,0,0
SMa066-s,200.0,0,0,0
BRa003-s,200.0,0,0,0
FIa131-s,2000.0,0,0,0
FIn002-d,15000.0,0,0,0
ZZa011-s,200.0,0.0008044444444444444,0.0008044444444444444,0
SMa066-d,1000.0,0,0,0
